Spp,ROCCnt,IncrCnt,DecrCnt,UniCnt,ChiTest,ChiSig,GRP
Nitzschia_linearis,22,861,139,0,0.352956635,0,NA
Encyonema_minutum,5,981,15,0,0.357026853,0,NA
Achnanthidium_altergracillima,505,2,998,0,0.392743915,0,NA
Planothidium_dubium,27,970,30,0,0.394955307,0,NA
Gomphonema_olivaceoides,14,984,16,0,0.410821892,0,NA
Eunotia_formica,522,14,986,0,0.421528444,0,NA
Ctenophora_pulchella,794,820,180,0,0.436790513,0,NA
Frustulia_vulgaris,29,908,92,0,0.441782978,0,NA
Psammothidium_grischunum,681,296,704,0,0.484131966,0,NA
Achnanthidium_pyrenaicum,1,0,1000,0,0.497367496,0,NA
Fragilaria_vaucheriae,0,248,524,0,0.510366955,0,NA
Stauroforma_exiguiformis,118,0,1000,0,0.520855176,0,NA
Diatoma_moniliformis,22,1,999,0,0.526340886,0,NA
Reimeria_uniseriata,84,0,1000,0,0.526734836,0,NA
Nupela_lapidosa,104,5,995,0,0.546030763,0,NA
Achnanthidium_rivulare,0,961,11,0,0.550939776,0,NA
Navicula_angusta,35,835,156,0,0.626130447,0,NA
Psammothidium_curtissimum,5,910,90,0,0.677520025,0,NA
