ID,AWQ_Station_ID,Station Name,TP_MGL,H,L,R
S14465_2004,14465,Stony Brook,0.111,0.578,0.043,9.303
S14470_2012,14470,Tankerhoosen River,0.007,0.559,0.056,9.087
S14473_2013,14473,Ten Mile River,0.021,0.052,0.023,6.889
S14482_2010,14482,West Branch Naugatuck River,0.013,0.136,0.079,6.324
S14484_2010,14484,West Branch Salmon Brook,9.14E-03,0.061,0.208,2.284
S14520_2011,14520,Factory Brook,0.0885,0.206,0.431,3.231
S14523_2015,14523,Burton Brook,0.009,0.154,0.221,4.115
S14547_2003,14547,Mattabesset River,3.07E-02,0.658,0.033,9.527
S14553_2013,14553,Norwalk River,0.083,0.732,0.068,9.146
S14581_2010,14581,Willimantic River,0.081,0.341,0.224,6.034
S14581_2014,14581,Willimantic River,0.08175,0.434,0.148,7.460
S14594_2010,14594,Moosup River,0.0225,0.165,0.288,3.640
S14598_2004,14598,Quinebaug River,0.047,0.203,0.015,9.328
S14605_2004,14605,Eightmile River,0.008,0.248,0.025,9.085
S14609_2004,14609,Quinebaug River,0.041,0.430,0.060,8.776
S14667_2010,14667,Sasco Brook,3.76E-02,0.142,0.295,3.244
S14669_2004,14669,French River,0.0515,0.567,0.042,9.315
S14669_2012,14669,French River,0.034,0.048,0.288,1.422
S14669_2013,14669,French River,0.031,0.147,0.138,5.146
S14669_2014,14669,French River,0.029,0.204,0.087,7.006
S14669_2015,14669,French River,0.026,0.352,0.348,5.035
S14686_2003,14686,Blackberry River,3.03E-02,0.300,0.192,6.094
S14687_2004,14687,Blackberry River,0.062,0.499,0.067,8.820
S14706_2013,14706,Whitford Brook,3.73E-02,0.325,0.123,7.249
S14720_2011,14720,Green Fall River,0.01,0.000,0.525,0.000
S14720_2013,14720,Green Fall River,0.011,0.115,0.588,1.635
S14721_2003,14721,Shunock River,3.83E-02,0.443,0.035,9.268
S14721_2013,14721,Shunock River,2.17E-02,0.183,0.103,6.395
S14732_2014,14732,Poquetanuck Brook (Hewitt Brook),5.63E-02,0.246,0.032,8.864
S14733_2014,14733,Oxoboxo Brook,0.015,0.013,0.045,2.222
S14735_2010,14735,Yantic River,3.26E-02,0.045,0.068,3.971
S14740_2015,14740,Quaker Brook,0.021,0.146,0.273,3.490
S14825_2015,14825,Naugatuck River,0.039,0.330,0.282,5.395
S14839_2002,14839,Muddy Brook,0.0868,0.475,0.050,9.051
S14840_2002,14840,Mountain Brook,0.01,0.012,0.508,0.222
S14841_2002,14841,FARMINGTON RIVER,0.0117,0.217,0.283,4.337
S14841_2010,14841,FARMINGTON RIVER,0.01475,0.297,0.357,4.544
S14842_2002,14842,Indian Meadow Brook,0.0106,0.092,0.046,6.667
S14843_2002,14843,Sandy Brook,0.00879,0.002,0.089,0.179
S14844_2002,14844,Lake Waramaug Brook,0.0106,0.145,0.436,2.493
S14845_2002,14845,Bull Mountain Brook,0.0155,0.592,0.121,8.299
S14846_2002,14846,Sawmill Brook,0.0107,0.247,0.030,8.929
S14848_2002,14848,Naugatuck River,0.0938,0.507,0.041,9.251
S14848_2003,14848,Naugatuck River,0.04375,0.545,0.012,9.790
S14849_2002,14849,Limekiln Brook,0.0287,0.508,0.056,9.012
S14850_2002,14850,Bladdens River,0.0237,0.038,0.124,2.323
S14851_2002,14851,East Branch Byram River,0.0233,0.108,0.063,6.311
S14852_2002,14852,Pumpkin Ground Brook,0.0253,0.091,0.254,2.632
S14853_2002,14853,Norwalk River,0.101,0.679,0.017,9.761
S14855_2002,14855,Neck River,0.0119,0.026,0.388,0.637
S14856_2002,14856,Pond Meadow Brook,0.01295,0.120,0.420,2.219
S14857_2002,14857,Beaver Meadow Brook,0.0158,0.097,0.417,1.891
S14858_2002,14858,Flat Brook,0.0177,0.418,0.179,7.000
S14859_2002,14859,Shunock River,0.016,0.369,0.134,7.336
S14860_2002,14860,Flat Brook,0.0193,0.060,0.679,0.809
S14861_2002,14861,Latimer Brook,0.0154,0.172,0.060,7.413
S14862_2002,14862,Bentley Brook,0.0225,0.037,0.700,0.502
S14863_2002,14863,Rocky Brook,0.0247,0.002,0.592,0.028
S14865_2002,14865,Skungamaug River,0.0376,0.123,0.235,3.426
S14866_2002,14866,Stickney Hill Brook,0.0307,0.152,0.116,5.679
S14866_2014,14866,Stickney Hill Brook,2.67E-02,0.054,0.745,0.676
S14878_2002,14878,Mashamoquet Brook,0.03035,0.284,0.231,5.513
S14879_2002,14879,Hop River,0.01675,0.095,0.116,4.496
S14880_2002,14880,Sages Ravine Brook,0.01,0.163,0.259,3.858
S14888_2002,14888,Ekonk Brook,0.0255,0.625,0.000,10.000
S14996_2003,14996,Freshwater Brook,0.0685,0.472,0.035,9.309
S14997_2003,14997,East Branch Salmon Brook,2.97E-02,0.633,0.040,9.406
S14998_2003,14998,Still Brook,0.016,0.070,0.363,1.615
S14999_2003,14999,North Running Brook,9.87E-02,0.633,0.168,7.900
S15000_2003,15000,Hollenbeck River,3.07E-02,0.342,0.103,7.678
S15001_2003,15001,Beach Brook,0.009,0.015,0.588,0.249
S15003_2003,15003,Wappoquia Brook,7.17E-02,0.203,0.113,6.421
S15003_2014,15003,Wappoquia Brook,3.43E-02,0.341,0.027,9.276
S15004_2003,15004,Housatonic River,2.13E-02,0.632,0.085,8.814
S15004_2004,15004,Housatonic River,0.0275,0.440,0.298,5.959
S15004_2014,15004,Housatonic River,0.032,0.033,0.002,9.524
S15005_2003,15005,Bantam River,0.015,0.115,0.225,3.382
S15006_2003,15006,Hockanum River,0.256666667,0.694,0.000,10.000
S15007_2003,15007,Sawmill Brook,2.23E-02,0.073,0.100,4.231
S15008_2003,15008,Moosup River,3.57E-02,0.398,0.035,9.192
S15010_2003,15010,Cabin Brook,2.27E-02,0.038,0.507,0.703
S15011_2003,15011,Crooked Brook,2.93E-02,0.030,0.797,0.363
S15012_2003,15012,Pomperaug River,0.025,0.553,0.018,9.679
S15013_2003,15013,Mill River,0.035,0.505,0.063,8.886
S15013_2010,15013,Mill River,2.79E-02,0.541,0.062,8.972
S15014_2003,15014,Clark Creek,0.022,0.002,0.677,0.025
S15015_2003,15015,Seth Williams Brook,0.118,0.180,0.095,6.545
S15016_2003,15016,Titicus River,0.103666667,0.533,0.043,9.249
S15017_2003,15017,Fivemile Brook,4.92E-02,0.537,0.206,7.226
S15018_2003,15018,Farm River,0.032,0.680,0.013,9.808
S15020_2003,15020,Eightmile River,0.0205,0.213,0.608,2.596
S15022_2003,15022,West Branch Saugatuck River,8.18E-02,0.492,0.028,9.455
S15023_2003,15023,Farm River,3.37E-02,0.200,0.048,8.054
S15024_2003,15024,Wood Creek,0.0295,0.083,0.048,6.329
S15051_2014,15051,Durkee Brook,0.089,0.463,0.028,9.430
S15087_2011,15087,Muddy River,3.58E-02,0.675,0.101,8.700
S15151_2011,15151,Little River,0.042,0.258,0.038,8.722
S15169_2012,15169,Roaring Brook,0.024,0.239,0.155,6.065
S15176_2014,15176,Natchaug River,1.87E-02,0.049,0.018,7.273
S15196_2004,15196,Quinnipiac River,0.341318182,0.800,0.000,10.000
S15201_2013,15201,Spoonshop Brook,0.02,0.476,0.140,7.730
S15304_2014,15304,Eagleville Brook,1.97E-02,0.415,0.264,6.111
S15315_2012,15315,Burnhams Brook,0.01,0.023,0.783,0.290
S15406_2012,15406,Little Brook,0.0255,0.361,0.023,9.394
S15413_2012,15413,Belcher Brook,0.025,0.349,0.027,9.292
S15479_2012,15479,Quinnipiac River,0.0375,0.314,0.031,9.091
S15479_2013,15479,Quinnipiac River,0.066,0.483,0.018,9.635
S15479_2014,15479,Quinnipiac River,0.042,0.160,0.000,10.000
S15479_2015,15479,Quinnipiac River,0.0625,0.378,0.107,7.801
S15520_2014,15520,Bonemill Brook,0.03,0.030,0.668,0.431
S15531_2011,15531,Leadmine Brook,0.011,0.092,0.677,1.197
S15536_2004,15536,Broad Brook,0.075,0.680,0.000,10.000
S15571_2011,15571,Cherry Brook,0.0105,0.101,0.237,2.980
S15703_2012,15703,West Branch Salmon Brook,0.00775,0.011,0.430,0.257
S15792_2011,15792,West Branch Farmington River,0.008,0.010,0.726,0.135
S15796_2010,15796,PENDLETON HILL BROOK,2.31E-02,0.086,0.346,1.993
S15796_2013,15796,PENDLETON HILL BROOK,0.02325,0.022,0.627,0.334
S15837_2012,15837,Farmington River,0.014,0.095,0.464,1.701
S15858_2013,15858,Cricker Brook,0.022,0.192,0.140,5.779
S15901_2011,15901,Pond Meadow Brook,2.03E-02,0.264,0.353,4.282
S15964_2012,15964,Thompson Brook,0.021,0.378,0.130,7.444
S15993_2015,15993,Naugatuck River,0.0365,0.321,0.409,4.402
S16022_2015,16022,Weekeepeemee River,2.37E-02,0.070,0.455,1.333
S16049_2015,16049,Naugatuck River,0.0465,0.343,0.197,6.353
S16066_2011,16066,Farmington River,0.067,0.124,0.146,4.588
S16103_2011,16103,Guinea Brook,0.009,0.057,0.427,1.186
S16110_2011,16110,Mott Hill Brook,0.0115,0.005,0.525,0.090
S16112_2010,16112,Hemlock Valley Brook,1.82E-02,0.123,0.309,2.842
S16114_2011,16114,Rugg Brook,0.0185,0.030,0.738,0.388
S16121_2011,16121,Flat Brook,0.003,0.003,0.291,0.110
S16122_2012,16122,Early Brook,0.0145,0.009,0.724,0.119
S16125_2015,16125,Whiting Brook,0.008,0.123,0.529,1.888
S16127_2011,16127,Jakes Brook,0.011,0.313,0.212,5.956
S16128_2014,16128,Stonehouse Brook,0.016,0.019,0.154,1.101
S16131_2010,16131,Chatfield Hollow Brook,0.0168,0.038,0.256,1.277
S16139_2010,16139,Brown Brook,1.42E-02,0.093,0.274,2.534
S16143_2011,16143,Little River,0.013,0.140,0.593,1.905
S16144_2013,16144,Aspetuck River,0.02,0.222,0.508,3.037
S16191_2015,16191,Hall Meadow Brook,1.67E-02,0.096,0.579,1.422
S16239_2012,16239,West Branch Farmington River,0.0085,0.114,0.264,3.007
S16258_2012,16258,West Branch Farmington River,0.007,0.000,0.795,0.000
S16268_2015,16268,Farmill River,3.43E-02,0.099,0.158,3.846
S16311_2012,16311,Reservoir Brook,0.008,0.112,0.055,6.729
S16335_2011,16335,Nonewaug River,0.0295,0.217,0.524,2.928
S16370_2010,16370,Bunnell Brook,1.31E-02,0.108,0.349,2.357
S16385_2012,16385,Beaver Brook,8.67E-03,0.271,0.466,3.681
S16387_2011,16387,Hurricane Brook,0.0085,0.000,0.549,0.000
S16428_2013,16428,Little River,0.014,0.237,0.468,3.357
S16440_2012,16440,Fawn Brook,4.57E-02,0.750,0.023,9.701
S16505_2012,16505,BIBLE ROCK BROOK,1.43E-02,0.005,0.551,0.083
S16524_2015,16524,BOG HOLLOW BROOK,2.97E-02,0.659,0.038,9.461
S16583_2013,16583,COMSTOCK BROOK,2.83E-02,0.448,0.177,7.173
S16588_2013,16588,COOPER POND BROOK,0.044,0.425,0.288,5.958
S16599_2015,16599,CROSS BROOK,1.97E-02,0.255,0.059,8.135
S16603_2012,16603,DAY MEADOW BROOK,0.015,0.008,0.694,0.117
S16679_2014,16679,Fry Brook,0.04375,0.185,0.078,7.037
S16758_2012,16758,HOWELL'S BROOK,1.63E-02,0.003,0.943,0.032
S16833_2014,16833,McCarthys Brook,0.034,0.116,0.112,5.091
S16846_2012,16846,MILL CREEK,1.67E-02,0.000,0.652,0.000
S16851_2013,16851,MILL RIVER,0.0335,0.187,0.098,6.550
S16881_2013,16881,MUNGER BROOK,0.021,0.095,0.485,1.638
S16885_2014,16885,Natchaug River,0.018,0.008,0.073,1.020
S16928_2014,16928,Obwebetuck Brook,0.023,0.114,0.054,6.796
S16972_2015,16972,PITCH BROOK,1.27E-02,0.078,0.503,1.335
S16984_2015,16984,PURCHASE BROOK,0.016,0.160,0.291,3.542
S17061_2013,17061,SPRING LOT BROOK,0.026,0.007,0.325,0.201
S17181_2015,17181,WEST BRANCH BANTAM RIVER,0.032,0.263,0.449,3.693
S17201_2013,17201,Willys Meadow Brook,0.036,0.033,0.485,0.643
S17271_2012,17271,Cherry Brook,0.0125,0.208,0.150,5.806
S17295_2014,17295,Bigelow Brook,0.009,0.028,0.705,0.376
S17342_2015,17342,Ball Pond Brook,3.17E-02,0.207,0.173,5.439
S17398_2012,17398,Negro Hill Brook,0.017,0.876,0.024,9.735
S17530_2011,17530,Haleys Brook,0.0305,0.519,0.285,6.454
S17565_2014,17565,Long Branch Brook,0.063,0.013,0.323,0.385
S17568_2014,17568,Sherman Brook,0.023,0.023,0.125,1.579
S17612_2011,17612,Jacks Brook,0.011,0.327,0.451,4.207
S17816_2014,17816,INDIAN HUT BROOK,0.075,0.050,0.052,4.932
S17852_2014,17852,Shady Oak Schoolhouse Brook,0.02725,0.005,0.654,0.073
S18158_2012,18158,Lydall Brook,0.013,0.630,0.036,9.455
S18159_2012,18159,West Branch Farmington River,0.009,0.047,0.043,5.263
S18463_2013,18463,Fivemile River,0.081,0.482,0.018,9.633
S18874_2015,18874,Weekeepeemee River,1.63E-02,0.130,0.276,3.211
S18875_2015,18875,Walker Brook,0.038,0.186,0.000,10.000
S18876_2015,18876,Curtiss Brook,2.33E-02,0.185,0.375,3.304
S18877_2015,18877,Leadmine Brook,0.021,0.052,0.512,0.917
S18881_2015,18881,Bantam River,0.27,0.628,0.074,8.949
S18882_2015,18882,Cemetery Pond Brook,0.118,0.028,0.592,0.453
S18883_2015,18883,East Branch Naugatuck River,0.018,0.003,0.762,0.043
S18884_2015,18884,Shepaug River,0.0405,0.082,0.088,4.804
