ID,AWQ_Station_ID,Station Name,TP_MGL,H,L,R
S14547_2003,14547,Mattabesset River,3.07E-02,0.6520,0.0327,9.5227
S14553_2013,14553,Norwalk River,0.083,0.7217,0.0683,9.1350
S14581_2010,14581,Willimantic River,0.081,0.3409,0.2240,6.0345
S14581_2014,14581,Willimantic River,0.08175,0.4292,0.1477,7.4394
S14594_2010,14594,Moosup River,0.0225,0.1538,0.2885,3.4783
S14598_2004,14598,Quinebaug River,0.047,0.2000,0.0146,9.3182
S14605_2004,14605,Eightmile River,0.008,0.2450,0.0250,9.0741
S14609_2004,14609,Quinebaug River,0.041,0.4417,0.0600,8.8040
S14667_2010,14667,Sasco Brook,3.76E-02,0.1317,0.2950,3.0859
S14669_2004,14669,French River,0.0515,0.6317,0.0417,9.3812
S14669_2012,14669,French River,0.034,0.0434,0.2880,1.3100
S14669_2013,14669,French River,0.031,0.1367,0.1383,4.9697
S14669_2014,14669,French River,0.029,0.2023,0.0872,6.9886
S14669_2015,14669,French River,0.026,0.3623,0.3475,5.1039
S14686_2003,14686,Blackberry River,3.03E-02,0.3002,0.1924,6.0943
S14687_2004,14687,Blackberry River,0.062,0.5092,0.0668,8.8406
S14706_2013,14706,Whitford Brook,3.73E-02,0.3183,0.1233,7.2075
S14720_2011,14720,Green Fall River,0.01,0.0000,0.5254,0.0000
S14720_2013,14720,Green Fall River,0.011,0.1150,0.5883,1.6351
S14721_2003,14721,Shunock River,3.83E-02,0.4400,0.0350,9.2632
S14721_2013,14721,Shunock River,2.17E-02,0.1733,0.1033,6.2651
S14732_2014,14732,Poquetanuck Brook (Hewitt Brook),5.63E-02,0.2753,0.0316,8.9712
S14733_2014,14733,Oxoboxo Brook,0.015,0.0127,0.0445,2.2222
S14735_2010,14735,Yantic River,3.26E-02,0.0449,0.0682,3.9706
S14740_2015,14740,Quaker Brook,0.021,0.1429,0.2726,3.4387
S14825_2015,14825,Naugatuck River,0.039,0.3183,0.2817,5.3056
S14839_2002,14839,Muddy Brook,0.0868,0.4850,0.0498,9.0683
S14840_2002,14840,Mountain Brook,0.01,0.0049,0.5082,0.0962
S14841_2002,14841,FARMINGTON RIVER,0.0117,0.2168,0.2832,4.3366
S14841_2010,14841,FARMINGTON RIVER,0.01475,0.2806,0.3569,4.4009
S14842_2002,14842,Indian Meadow Brook,0.0106,0.0924,0.0462,6.6667
S14843_2002,14843,Sandy Brook,0.00879,0.0016,0.0893,0.1786
S14844_2002,14844,Lake Waramaug Brook,0.0106,0.1353,0.4364,2.3662
S14845_2002,14845,Bull Mountain Brook,0.0155,0.5803,0.1213,8.2710
S14846_2002,14846,Sawmill Brook,0.0107,0.2303,0.0296,8.8608
S14848_2002,14848,Naugatuck River,0.0938,0.5066,0.0410,9.2515
S14848_2003,14848,Naugatuck River,0.04375,0.5483,0.0117,9.7917
S14849_2002,14849,Limekiln Brook,0.0287,0.4902,0.0557,8.9790
S14850_2002,14850,Bladdens River,0.0237,0.0343,0.1242,2.1649
S14851_2002,14851,East Branch Byram River,0.0233,0.1043,0.0629,6.2376
S14852_2002,14852,Pumpkin Ground Brook,0.0253,0.0660,0.2541,2.0619
S14853_2002,14853,Norwalk River,0.101,0.6777,0.0166,9.7608
S14855_2002,14855,Neck River,0.0119,0.0198,0.3884,0.4858
S14856_2002,14856,Pond Meadow Brook,0.01295,0.1199,0.4204,2.2188
S14857_2002,14857,Beaver Meadow Brook,0.0158,0.0972,0.4168,1.8910
S14858_2002,14858,Flat Brook,0.0177,0.4561,0.1791,7.1802
S14859_2002,14859,Shunock River,0.016,0.3659,0.1341,7.3179
S14860_2002,14860,Flat Brook,0.0193,0.0598,0.6794,0.8090
S14861_2002,14861,Latimer Brook,0.0154,0.1721,0.0601,7.4126
S14862_2002,14862,Bentley Brook,0.0225,0.0290,0.7005,0.3974
S14863_2002,14863,Rocky Brook,0.0247,0.0017,0.5917,0.0279
S14865_2002,14865,Skungamaug River,0.0376,0.1227,0.2355,3.4259
S14866_2002,14866,Stickney Hill Brook,0.0307,0.1507,0.1159,5.6522
S14866_2014,14866,Stickney Hill Brook,2.67E-02,0.0540,0.7449,0.6757
S14878_2002,14878,Mashamoquet Brook,0.03035,0.2970,0.2310,5.6250
S14879_2002,14879,Hop River,0.01675,0.0897,0.1158,4.3651
S14880_2002,14880,Sages Ravine Brook,0.01,0.1625,0.2587,3.8583
S14888_2002,14888,Ekonk Brook,0.0255,0.6254,0.0000,10.0000
S14996_2003,14996,Freshwater Brook,0.0685,0.5000,0.0350,9.3458
S14997_2003,14997,East Branch Salmon Brook,2.97E-02,0.6333,0.0400,9.4059
S14998_2003,14998,Still Brook,0.016,0.0667,0.3633,1.5504
S14999_2003,14999,North Running Brook,9.87E-02,0.6333,0.1683,7.9002
S15000_2003,15000,Hollenbeck River,3.07E-02,0.3183,0.1033,7.5494
S15001_2003,15001,Beach Brook,0.009,0.0150,0.5883,0.2486
S15003_2003,15003,Wappoquia Brook,7.17E-02,0.2033,0.1133,6.4211
S15003_2014,15003,Wappoquia Brook,3.43E-02,0.4243,0.0266,9.4096
S15004_2003,15004,Housatonic River,2.13E-02,0.6317,0.0850,8.8140
S15004_2004,15004,Housatonic River,0.0275,0.4417,0.2983,5.9685
S15004_2014,15004,Housatonic River,0.032,0.0329,0.0016,9.5238
S15005_2003,15005,Bantam River,0.015,0.1117,0.2250,3.3168
S15006_2003,15006,Hockanum River,0.256666667,0.6839,0.0000,10.0000
S15007_2003,15007,Sawmill Brook,2.23E-02,0.0733,0.1000,4.2308
S15008_2003,15008,Moosup River,3.57E-02,0.3917,0.0350,9.1797
S15010_2003,15010,Cabin Brook,2.27E-02,0.0383,0.5067,0.7034
S15011_2003,15011,Crooked Brook,2.93E-02,0.0300,0.7967,0.3629
S15012_2003,15012,Pomperaug River,0.025,0.5400,0.0183,9.6716
S15013_2003,15013,Mill River,0.035,0.4800,0.0633,8.8344
S15013_2010,15013,Mill River,2.79E-02,0.5426,0.0620,8.9744
S15014_2003,15014,Clark Creek,0.022,0.0017,0.6767,0.0246
S15015_2003,15015,Seth Williams Brook,0.118,0.1717,0.0950,6.4375
S15016_2003,15016,Titicus River,0.103666667,0.5233,0.0433,9.2353
S15017_2003,15017,Fivemile Brook,4.92E-02,0.5365,0.2060,7.2260
S15018_2003,15018,Farm River,0.032,0.6800,0.0133,9.8077
S15020_2003,15020,Eightmile River,0.0205,0.2133,0.6083,2.5963
S15022_2003,15022,West Branch Saugatuck River,8.18E-02,0.4850,0.0283,9.4481
S15023_2003,15023,Farm River,3.37E-02,0.1867,0.0483,7.9433
S15024_2003,15024,Wood Creek,0.0295,0.0833,0.0483,6.3291
S15051_2014,15051,Durkee Brook,0.089,0.4728,0.0280,9.4408
S15087_2011,15087,Muddy River,3.58E-02,0.7561,0.1008,8.8235
S15151_2011,15151,Little River,0.042,0.2578,0.0378,8.7222
S15169_2012,15169,Roaring Brook,0.024,0.2332,0.1552,6.0044
S15176_2014,15176,Natchaug River,1.87E-02,0.0486,0.0182,7.2727
S15196_2004,15196,Quinnipiac River,0.341318182,0.7983,0.0000,10.0000
S15201_2013,15201,Spoonshop Brook,0.02,0.4792,0.1398,7.7419
S15304_2014,15304,Eagleville Brook,1.97E-02,0.4426,0.2639,6.2645
S15315_2012,15315,Burnhams Brook,0.01,0.0222,0.7833,0.2752
S15406_2012,15406,Little Brook,0.0255,0.3508,0.0233,9.3774
S15413_2012,15413,Belcher Brook,0.025,0.3494,0.0266,9.2920
S15479_2012,15479,Quinnipiac River,0.0375,0.3719,0.0314,9.2213
S15479_2013,15479,Quinnipiac River,0.066,0.5083,0.0183,9.6519
S15479_2014,15479,Quinnipiac River,0.042,0.2290,0.0000,10.0000
S15479_2015,15479,Quinnipiac River,0.0625,0.4200,0.1067,7.9747
S15520_2014,15520,Bonemill Brook,0.03,0.0285,0.6677,0.4091
S15531_2011,15531,Leadmine Brook,0.011,0.0920,0.6765,1.1966
S15536_2004,15536,Broad Brook,0.075,0.6767,0.0000,10.0000
S15571_2011,15571,Cherry Brook,0.0105,0.0979,0.2372,2.9218
S15703_2012,15703,West Branch Salmon Brook,0.00775,0.0043,0.4298,0.0980
S15792_2011,15792,West Branch Farmington River,0.008,0.0133,0.7259,0.1798
S15796_2010,15796,PENDLETON HILL BROOK,2.31E-02,0.0861,0.3457,1.9931
S15796_2013,15796,PENDLETON HILL BROOK,0.02325,0.0167,0.6267,0.2591
S15837_2012,15837,Farmington River,0.014,0.0852,0.4639,1.5522
S15858_2013,15858,Cricker Brook,0.022,0.1833,0.1400,5.6701
S15901_2011,15901,Pond Meadow Brook,2.03E-02,0.2644,0.3530,4.2819
S15964_2012,15964,Thompson Brook,0.021,0.4457,0.1297,7.7465
S15993_2015,15993,Naugatuck River,0.0365,0.3147,0.4086,4.3508
S16022_2015,16022,Weekeepeemee River,2.37E-02,0.0700,0.4550,1.3333
S16049_2015,16049,Naugatuck River,0.0465,0.3612,0.1970,6.4706
S16066_2011,16066,Farmington River,0.067,0.1529,0.1465,5.1064
S16103_2011,16103,Guinea Brook,0.009,0.0575,0.4269,1.1864
S16110_2011,16110,Mott Hill Brook,0.0115,0.0048,0.5247,0.0904
S16112_2010,16112,Hemlock Valley Brook,1.82E-02,0.1229,0.3095,2.8417
S16114_2011,16114,Rugg Brook,0.0185,0.0298,0.7384,0.3879
S16121_2011,16121,Flat Brook,0.003,0.0032,0.2913,0.1099
S16122_2012,16122,Early Brook,0.0145,0.0044,0.7238,0.0599
S16125_2015,16125,Whiting Brook,0.008,0.1231,0.5291,1.8878
S16127_2011,16127,Jakes Brook,0.011,0.3322,0.2122,6.1027
S16128_2014,16128,Stonehouse Brook,0.016,0.0190,0.1537,1.1009
S16131_2010,16131,Chatfield Hollow Brook,0.0168,0.0375,0.2563,1.2766
S16139_2010,16139,Brown Brook,1.42E-02,0.0896,0.2736,2.4658
S16143_2011,16143,Little River,0.013,0.1678,0.5930,2.2052
S16144_2013,16144,Aspetuck River,0.02,0.2183,0.5083,3.0046
S16191_2015,16191,Hall Meadow Brook,1.67E-02,0.0960,0.5795,1.4216
S16239_2012,16239,West Branch Farmington River,0.0085,0.1094,0.2640,2.9304
S16258_2012,16258,West Branch Farmington River,0.007,0.0000,0.7946,0.0000
S16268_2015,16268,Farmill River,3.43E-02,0.0903,0.1576,3.6424
S16311_2012,16311,Reservoir Brook,0.008,0.1108,0.0546,6.6981
S16335_2011,16335,Nonewaug River,0.0295,0.2138,0.5241,2.8976
S16370_2010,16370,Bunnell Brook,1.31E-02,0.1060,0.3491,2.3297
S16385_2012,16385,Beaver Brook,8.67E-03,0.2656,0.4659,3.6310
S16387_2011,16387,Hurricane Brook,0.0085,0.0000,0.5488,0.0000
S16428_2013,16428,Little River,0.014,0.2300,0.4683,3.2936
S16440_2012,16440,Fawn Brook,4.57E-02,0.7438,0.0231,9.6982
S16505_2012,16505,BIBLE ROCK BROOK,1.43E-02,0.0015,0.5509,0.0279
S16524_2015,16524,BOG HOLLOW BROOK,2.97E-02,0.6819,0.0375,9.4785
S16583_2013,16583,COMSTOCK BROOK,2.83E-02,0.4917,0.1767,7.3566
S16588_2013,16588,COOPER POND BROOK,0.044,0.4433,0.2883,6.0592
S16599_2015,16599,CROSS BROOK,1.97E-02,0.2553,0.0585,8.1347
S16603_2012,16603,DAY MEADOW BROOK,0.015,0.0082,0.6941,0.1172
S16679_2014,16679,Fry Brook,0.04375,0.2127,0.0779,7.3184
S16758_2012,16758,HOWELL'S BROOK,1.63E-02,0.0030,0.9429,0.0317
S16833_2014,16833,McCarthys Brook,0.034,0.1488,0.1116,5.7143
S16846_2012,16846,MILL CREEK,1.67E-02,0.0000,0.6524,0.0000
S16851_2013,16851,MILL RIVER,0.0335,0.1783,0.0983,6.4458
S16881_2013,16881,MUNGER BROOK,0.021,0.0933,0.4850,1.6138
S16885_2014,16885,Natchaug River,0.018,0.0083,0.0733,1.0204
S16928_2014,16928,Obwebetuck Brook,0.023,0.1138,0.0537,6.7961
S16972_2015,16972,PITCH BROOK,1.27E-02,0.0776,0.5033,1.3352
S16984_2015,16984,PURCHASE BROOK,0.016,0.1980,0.2912,4.0476
S17061_2013,17061,SPRING LOT BROOK,0.026,0.0067,0.3250,0.2010
S17181_2015,17181,WEST BRANCH BANTAM RIVER,0.032,0.2692,0.4486,3.7500
S17201_2013,17201,Willys Meadow Brook,0.036,0.0317,0.4850,0.6129
S17271_2012,17271,Cherry Brook,0.0125,0.2079,0.1502,5.8065
S17295_2014,17295,Bigelow Brook,0.009,0.0276,0.7050,0.3761
S17342_2015,17342,Ball Pond Brook,3.17E-02,0.2467,0.1733,5.8730
S17398_2012,17398,Negro Hill Brook,0.017,0.8763,0.0238,9.7351
S17530_2011,17530,Haleys Brook,0.0305,0.5158,0.2852,6.4389
S17565_2014,17565,Long Branch Brook,0.063,0.0097,0.3231,0.2913
S17568_2014,17568,Sherman Brook,0.023,0.0202,0.1246,1.3978
S17612_2011,17612,Jacks Brook,0.011,0.3273,0.4507,4.2072
S17816_2014,17816,INDIAN HUT BROOK,0.075,0.0491,0.0519,4.8611
S17852_2014,17852,Shady Oak Schoolhouse Brook,0.02725,0.0048,0.6544,0.0728
S18158_2012,18158,Lydall Brook,0.013,0.6295,0.0363,9.4553
S18159_2012,18159,West Branch Farmington River,0.009,0.0472,0.0425,5.2632
S18463_2013,18463,Fivemile River,0.081,0.6467,0.0183,9.7243
S18874_2015,18874,Weekeepeemee River,1.63E-02,0.1304,0.2756,3.2114
S18875_2015,18875,Walker Brook,0.038,0.1865,0.0000,10.0000
S18876_2015,18876,Curtiss Brook,2.33E-02,0.1767,0.3750,3.2024
S18877_2015,18877,Leadmine Brook,0.021,0.0517,0.5117,0.9172
S18881_2015,18881,Bantam River,0.27,0.6246,0.0738,8.9437
S18882_2015,18882,Cemetery Pond Brook,0.118,0.0248,0.5917,0.4021
S18883_2015,18883,East Branch Naugatuck River,0.018,0.0033,0.7616,0.0433
S18884_2015,18884,Shepaug River,0.0405,0.0767,0.0883,4.6465
